#,מועמד/ת,C1 יושרה|E1 עדות עצמית,C1 יושרה|E2 קרדיט עמיתים,C1 יושרה|E3 תקשורת,C1 יושרה|E4 שטח,C2 חריצות וביצוע|E1 עדות עצמית,C2 חריצות וביצוע|E2 קרדיט עמיתים,C2 חריצות וביצוע|E3 תקשורת,C2 חריצות וביצוע|E4 שטח,C3 אומץ ציבורי|E1 עדות עצמית,C3 אומץ ציבורי|E2 קרדיט עמיתים,C3 אומץ ציבורי|E3 תקשורת,C3 אומץ ציבורי|E4 שטח,C4 חיבור ועבודה רוחבית|E1 עדות עצמית,C4 חיבור ועבודה רוחבית|E2 קרדיט עמיתים,C4 חיבור ועבודה רוחבית|E3 תקשורת,C4 חיבור ועבודה רוחבית|E4 שטח,C5 מקצועיות וניסיון|E1 עדות עצמית,C5 מקצועיות וניסיון|E2 קרדיט עמיתים,C5 מקצועיות וניסיון|E3 תקשורת,C5 מקצועיות וניסיון|E4 שטח
1,משה רדמן אבוטבול,4,2,2,2,4,3,4,5,5,3,5,5,4,2,3,4,3,2,3,3
2,ערן עציון,4,2,3,3,4,2,3,4,4,2,3,3,3,2,3,4,5,3,4,5
3,מורן זר קצנשטיין,4,2,4,4,4,3,4,4,5,3,4,5,5,3,4,5,4,2,3,4
4,יעל כהן־פארן,4,2,3,3,4,2,3,4,3,2,3,3,4,2,3,4,4,3,3,4
5,לי הופמן אגיב,3,1,2,2,3,2,3,3,3,2,3,3,3,1,2,2,3,1,2,2
6,רם שפע,4,2,3,3,4,3,4,5,3,2,3,3,4,3,4,5,4,3,4,4
7,יריב אופנהיימר,4,2,3,4,4,2,4,5,5,3,4,5,3,2,2,3,4,2,3,4
8,אוליביה עמנואל דה לם,5,1,1,2,3,1,2,2,3,1,2,2,3,1,2,2,3,1,2,2
9,נאור נרקיס,4,2,2,3,5,2,4,5,5,2,4,5,2,1,1,2,3,2,3,3
10,מהרטה ברוך־רון,4,2,3,3,4,2,3,4,4,2,3,4,4,2,3,4,4,2,3,4
11,עמרי רונן,3,2,3,3,3,1,3,3,4,2,3,4,3,1,2,2,3,1,2,2
12,ירון ניב,4,2,2,3,4,2,2,4,3,1,2,2,3,2,2,3,5,3,3,5
13,רתם סיון,4,2,3,3,4,2,3,4,5,2,4,4,3,2,3,3,5,2,3,5
14,אליס גולדמן,3,1,2,2,4,2,2,3,4,2,3,3,3,1,2,2,4,2,2,4
15,אבי דבוש,4,2,3,4,4,2,3,4,4,2,3,4,4,2,3,4,3,2,3,3
16,דימה שפירא,3,1,2,2,3,1,2,3,3,1,2,2,3,1,2,2,3,1,2,2
17,בנימין דניאל מיניץ,3,1,2,2,3,1,2,2,3,1,2,2,3,1,2,2,3,1,2,2
18,ענבר בזק,4,2,3,3,4,2,3,4,4,2,4,3,4,2,3,4,4,3,3,4
19,גיל ביילין,3,1,2,2,3,1,2,2,3,1,2,2,3,1,2,2,4,1,2,2
20,יאיר רובינשטיין,3,1,2,2,3,1,2,2,3,1,2,2,3,1,2,2,3,1,2,2
21,דני אלגרט,4,3,4,4,3,2,3,4,5,3,5,5,3,2,3,3,4,2,3,4
22,אמיר ח'ניפס,4,2,3,3,4,2,3,4,4,2,3,4,4,2,3,4,4,2,3,4
23,הדס רגולסקי,4,2,3,3,4,2,3,4,4,3,3,4,4,3,3,4,4,2,4,4
24,אבישי ליכטנשטיין,3,1,2,2,3,1,2,2,3,1,2,2,3,1,2,2,4,2,2,4
25,חן אריאלי,4,2,3,3,4,2,3,4,4,3,4,4,4,3,4,4,4,2,3,4
26,מיכל רוזין,4,3,4,4,5,3,4,5,4,2,3,4,4,3,4,4,5,3,4,5
27,ערן ניסן,2,1,2,2,3,1,2,2,3,1,2,2,3,1,2,3,3,1,2,2
28,אפרת רייטן,4,3,4,4,5,3,4,5,4,3,3,4,4,3,4,4,5,3,4,5
29,קטי פיאסצקי,3,1,2,2,3,2,3,3,3,1,2,2,3,1,2,2,3,1,2,3
30,אחסאן חלאילה,3,1,2,2,3,1,2,2,3,1,2,2,3,1,2,2,3,1,2,3
31,נדאל מסאלחה,3,1,2,2,3,1,2,2,3,1,3,3,3,1,2,2,4,1,2,3
32,ענבל וורטמן שהם,3,1,2,2,3,2,3,3,3,1,2,2,3,1,2,2,4,2,2,4
33,יאיא פינק,4,2,3,4,4,2,4,4,5,3,4,5,5,3,4,5,4,2,3,4
34,עאיד בדיר,3,1,2,2,3,1,2,2,3,1,2,2,3,2,2,3,4,2,3,4
35,נאווה רוזוליו,4,2,2,3,4,2,3,4,4,2,4,4,3,2,3,3,4,2,3,4
36,מאלכ בדר,3,1,2,2,4,2,3,4,3,1,2,2,4,2,3,4,4,2,3,4
37,איתי לשם,3,1,2,2,3,1,2,2,4,2,3,3,3,1,2,2,3,1,2,2
38,גלעד קריב,4,3,4,4,5,3,4,5,4,3,4,4,4,3,4,4,5,3,4,5
39,גאלב סלאמנה,3,1,2,2,3,1,2,2,3,1,3,3,3,1,2,2,3,1,2,2
40,יואב אגמי,3,1,2,2,3,1,2,2,3,1,2,2,3,1,2,2,3,1,2,2
41,אמילי מואטי,4,2,2,3,4,2,3,3,4,2,3,3,3,2,3,3,4,2,3,4
42,אביתר באר,3,1,2,2,3,1,2,2,3,1,2,2,3,1,2,2,3,1,2,2
43,תומר אביטל,5,3,4,5,5,3,4,5,4,2,4,4,3,2,3,3,4,2,4,4
44,סומיה בשיר,2,1,2,2,4,2,3,4,3,1,2,2,4,2,3,4,3,1,2,2
45,מורן מישל,3,1,2,2,3,2,3,3,3,1,2,2,3,3,2,3,3,1,2,2
46,גבי לסקי,4,2,3,4,4,2,4,4,5,3,4,5,3,2,2,3,5,3,4,5
47,נעמה לזימי,4,3,3,4,5,4,4,5,4,3,4,4,4,3,3,4,4,3,3,4
48,איהאב שליאן,3,1,2,2,4,2,3,4,3,1,2,2,3,1,2,2,4,2,3,4
49,מוסי רז,4,2,3,4,5,3,4,5,4,2,3,4,3,2,4,3,4,3,3,4
50,עלי סלאלחה,4,2,3,4,4,2,3,5,4,2,3,4,4,2,3,4,4,2,3,5
51,נמרוד שפר,3,1,1,2,4,2,3,4,3,2,3,3,3,2,2,3,5,3,4,5
